"","SampleID","StationID.x","Date","StationID.y","Latitude","Longitude","Sta_Desc","dist"
"104",898,"9-WLK000.55",2019-06-06,"9-WLK050.85",37.11833333,-81.00916667,"Intersection of Rts 608 & 604",2
"105",902,"9-LKK005.44",2019-11-07,"9-LLK005.44",36.74575,-80.553519,"Laurel Fork along Rt. 630",1
"106",910,"2-HOC003.15",2018-10-24,"2-HOL001.15",37.38916667,-78.64,"4-H CAMP, RECREATIONAL AREA",2
"107",910,"2-HOC003.15",2018-10-24,"2-HOL003.15",37.41611111,-78.63613889,"Holiday Cr @ RT. 614 BRIDGE",1
"108",910,"2-HOC003.15",2018-10-24,"2-ROT003.15",37.41444445,-77.35083333,"Roundabout Creek at Kingsland Rd",2
"109",925,"4ASRE069.63",2019-10-24,"4ASRE009.53",36.57787778,-79.73593056,"Above Rt. 622 Bridge (Morgan Ford)",2
"110",925,"4ASRE069.63",2019-10-24,"4ASRE063.69",36.8436,-80.1617,"Upstr of confluence with Shooting Creek",2
"111",925,"4ASRE069.63",2019-10-24,"4ASRE069.46",36.80630556,-80.20038889,"Downstream of Iron Bridge Rd Bridge",2
"112",925,"4ASRE069.63",2019-10-24,"4ASRE039.43",36.76246,-79.995103,"Rt. 57 Bridge in Bassett",2
"113",930,"2-MRC000.63",2020-08-27,"2-MHC000.03",36.99,-76.64722222,"RT. 626 BRIDGE, W OF SMITHFIELD",2
"114",930,"2-MRC000.63",2020-08-27,"2-MHC001.63",36.97472222,-76.66888889,"CENTER SMITHFIELD WATERWORKS (ISLE OF WI",2
"115",930,"2-MRC000.63",2020-08-27,"2-MSC000.60",38.01833333,-78.46083333,"RWSA WWTP Bridge",2
"116",930,"2-MRC000.63",2020-08-27,"2-MWC000.60",38.045,-78.46305555,"HOLMES AVENUE box culvert",2
"117",930,"2-MRC000.63",2020-08-27,"2-GRV000.63",37.29825,-77.26363889,"Gravelly Run 340 m above Hummel Ross Br.",2
"118",930,"2-MRC000.63",2020-08-27,"2-MRL000.63",37.79065,-79.360403,"adj. Co. Rt. 706",1
"119",930,"2-MRC000.63",2020-08-27,"7-MRC000.69",37.45305556,-76.30888889,"MORRIS CREEK, OFF RT. 653",2
"120",930,"2-MRC000.63",2020-08-27,"2-MIC000.03",37.21472222,-76.74416667,"COLONIAL PQWY BRIGDE",2
"121",938,"2-PCT002.45",2020-01-29,"2-PCT002.46",37.38069444,-77.4225,"Proctors Creek at RT. 1 BRIDGE",1
"122",938,"2-PCT002.45",2020-01-29,"8-PCT002.95",37.95281111,-77.37817222,"Upstream 0.6 mi. from Rt. 601",2
